Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Sint Maarten,Americas,1531,35702.63,97,0,27,629.63,0,0,Community transmission
Viet Nam,Western Pacific,1513,15.54,31,1,35,0.36,0,0,Clusters of cases
Mongolia,Western Pacific,1408,429.49,166,13,0,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,1054,4809.29,40,19,17,77.57,0,0,Community transmission
Monaco,Europe,1041,26526.35,156,23,5,127.41,2,1,Sporadic cases
Saint Martin,Americas,1002,25918.93,7,0,12,310.41,0,0,Community transmission
Turks and Caicos Islands,Americas,965,24923.81,57,9,6,154.97,0,0,Clusters of cases
Burundi,Africa,885,74.43,63,0,2,0.17,0,0,Community transmission
Comoros,Africa,864,993.56,99,0,13,14.95,4,0,Community transmission
Papua New Guinea,Western Pacific,811,90.64,31,0,9,1.01,0,0,Community transmission
Bhutan,South-East Asia,810,1049.76,100,39,1,1.3,1,0,Clusters of cases
Barbados,Americas,808,2811.66,413,28,7,24.36,0,0,Clusters of cases
Other,Other,745,,0,0,13,,0,0,Not applicable
Bermuda,Americas,646,10373.68,42,5,12,192.7,2,0,Clusters of cases
Faroe Islands,Europe,644,13179.17,34,1,1,20.46,1,0,Sporadic cases
Mauritius,Africa,539,423.82,12,0,10,7.86,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Seychelles,Africa,448,4555.3,181,30,1,10.17,1,0,Sporadic cases
Saint Lucia,Americas,395,2151.1,42,12,5,27.23,0,0,Sporadic cases
Cambodia,Western Pacific,391,23.39,10,4,0,0,0,0,Sporadic cases
Isle of Man,Europe,391,4598.27,11,2,25,294.01,0,0,No cases
Cayman Islands,Americas,359,5462.57,21,0,2,30.43,0,0,Sporadic cases
Guernsey,Europe,302,4778.78,4,0,13,205.71,0,0,Community transmission
Bonaire,Americas,254,12144.39,89,0,3,143.44,0,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,204,1838.83,82,0,0,0,0,0,Sporadic cases
Saint Barthélemy,Americas,191,19322.21,1,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,173,395.45,16,0,3,6.86,0,0,Sporadic cases
Antigua and Barbuda,Americas,169,1725.74,10,2,5,51.06,0,0,Sporadic cases
Grenada,Americas,135,1199.75,5,4,1,8.89,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,125,2171.76,3,0,2,34.75,0,0,Pending
British Virgin Islands,Americas,114,3770.22,21,0,1,33.07,0,0,Clusters of cases
Dominica,Americas,106,1472.41,10,0,0,0,0,0,Clusters of cases
Fiji,Western Pacific,53,59.12,4,0,2,2.23,0,0,Sporadic cases
Timor-Leste,South-East Asia,49,37.16,5,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,40,140.11,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,34,639.19,1,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,29,8326.16,0,0,0,0,0,0,No cases
Greenland,Europe,29,510.82,2,1,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Sint Eustatius,Americas,19,6052.88,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Saint Pierre and Miquelon,Americas,16,2761,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,15,999.87,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,5,2586.65,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Micronesia (Federated States of),Western Pacific,1,8.69,1,1,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
